업소명,소재지,위도,경도
지코바 양념치킨 해운1호점,부산광역시 해운대구 좌동순환로433번길 23-1(1층 일부호 중동),35.16135039,129.1759597
지코바숯불양념치킨 수비점,부산광역시 해운대구 해운대로469번길 138(우동),35.16845813,129.1415719
지코바숯불치킨,부산광역시 해운대구 재반로 136(재송동),35.19016118,129.1273931
지코바숯불치킨 반여3호점,부산광역시 해운대구 재반로242번길 24(반여동),35.19849513,129.1326256
지코바양념치킨,부산광역시 해운대구 세실로 105(1층 일부호 좌동),35.17378838,129.17514
짱짱치킨,"부산광역시 해운대구 반여로27번길 2-4(반여동, 1층전부)",35.19541042,129.119285
찐불이 찐 숯불 두마리 치킨,부산광역시 해운대구 양운로42번길 16(스타빌딩 지하1층 101호 좌동),35.16832896,129.177619
찐이야 숯불두마리치킨,부산광역시 해운대구 대천로106번길 26-2(1층 일부호 좌동),35.17387344,129.174735
처갓집양념치킨 반송점,부산광역시 해운대구 반송로924번길 15(1층 반송동),35.23208612,129.1558334
처갓집양념치킨 반여2동점,부산광역시 해운대구 해운대로61번길 98-1(1층 반여동),35.19473285,129.1291473
처갓집양념치킨 반여점,"부산광역시 해운대구 반여로167번길 70(반여동, 지상1층)",35.20786306,129.1236514
처갓집양념치킨 신도시2점,"부산광역시 해운대구 대천로103번길 29(좌동, 대동타운 분산상가 203호)",35.17657297,129.1714914
처갓집양념치킨 장산역점,"부산광역시 해운대구 세실로 7(좌동, 해운대상록아파트상가 104호)",35.16539706,129.1797171
처갓집양념치킨 해운대점,부산광역시 해운대구 해운대해변로209번길 26(2층 우동),35.16048766,129.1541598
처갓집양념치킨 해운대중동점,"부산광역시 해운대구 좌동순환로8번길 78(상가동 1호 일부호 중동, 해운대메트로하이츠)",35.1696574,129.1707664
